점검시행일자,점검종료일자,점검진단결과등급,점검진단결과내용,손상요약내용,조치요약내용,긴급보수도,붕괴유발부재여부,시설물명,안전성평가등급,,
2003-11-21,2003-11-21,B,,,,A,N,자안1육교,A,,
2003-11-21,2003-11-21,B,,,,A,N,자안2육교,A,,
2003-11-22,2003-11-22,B,,,,A,N,양노육교,A,,
2003-11-22,2003-11-22,B,,,,A,N,양노1육교,A,,
2003-11-22,2003-11-22,B,,,,A,N,양노2육교,A,,
2003-11-22,2003-11-22,B,,,,A,N,쌍학1교,A,,
2003-11-22,2003-11-22,B,,,,A,N,쌍학2교,A,,
2003-11-22,2003-11-22,B,,,,A,N,쌍학2육교,A,,
2003-11-22,2003-11-22,B,,,,A,N,쌍학3육교,A,,
2003-11-22,2003-11-22,B,,,,A,N,숙곡교,A,,
2002-11-14,2002-11-14,B,,,,C,N,오포육교,A,,
2002-12-01,2002-12-01,B,보개교 공용 내하력은 DB55로 평가되어 DB24는 상회하는 것으로 검토되었다.,,,B,N,보개교,A,,
2007-04-24,2007-04-24,A,양호,없음,없음,A,N,교촌교,A,,
2003-05-20,2003-06-07,A,양호,양호,,A,N,근곡교,A,,
2003-05-20,2003-06-07,B,양호,양호,,A,N,곤지암교,A,,
2003-11-17,2003-12-03,A,양호,양호,,A,N,오포육교,A,,
2004-02-20,2004-04-09,B,"슬라브하면 균열부 누수 및 백태, 조인트 누수 및 후타 균열, 교대, 교각 구체 수직 균열, 배수구 막힘(6EA)","누수,백태,균열,배수구막힘",보수요망,A,N,야목육교,A,,
2001-02-27,2001-05-27,B,지속적인 유지관리가 이루어진다면 양호한 상태의 교량으로 유지될 수 있을 것으로 판단,양호,,A,N,길천교,A,,
2003-02-28,2003-03-14,A,,,,C,N,청평대교,A,,
2001-12-07,2001-12-07,B,,,,A,N,월정육교,A,,
2000-11-13,2000-11-13,C,,,,A,N,천안2교,A,,
2001-11-21,2001-11-21,B,,,,A,N,반계교*,A,,
2000-04-01,2001-07-01,B,,,,B,N,신진군교,A,,
1999-03-29,1999-05-17,C,,,,B,N,청학교,A,,
1999-03-23,1999-05-24,C,,,,C,N,1대성교,A,,
2003-09-22,2003-12-20,B,사용성과 기능적인 측면은 양호한 상태,,,C,N,경강교(구),A,,
2003-03-26,2003-05-26,B,정기적인 점검 및 보수를 실시한다면 안전성에 이상없음,,,B,N,봉안대교(하),A,,
2003-03-04,2003-06-01,A,전반적으로양호,,,B,N,신내촌교,A,,
2001-02-16,2001-04-06,A,,,,C,N,청평대교,A,,
1999-04-02,1999-06-05,A,,,,B,N,한탄교,A,,
2000-04-01,2001-07-01,B,,,,B,N,내촌2교,A,,
1999-10-04,1999-11-12,C,내하력평가 결과 DB-22로 설계내하력 DB-24보다 낮은것으로 평가됨. 정기적인 정검이 필요함,,,C,N,청평2교,A,,
1999-10-08,1999-10-08,C,,,,A,N,조안IC교,A,,
1999-10-25,1999-10-25,C,,,,A,N,어유1교,A,,
2002-11-20,2002-11-20,B,,,,A,N,목동교,A,,
2001-11-21,2001-11-21,C,,,,A,N,다원교*,A,,
1994-11-12,1994-11-12,C,,,,A,N,신원교,A,,
1995-11-18,1995-11-18,B,,,,D,N,와천교,A,,
1997-12-10,1997-12-10,C,"교면포장불량, 교대교각 전반적균열",,,C,N,와천교,A,,
1998-06-26,1998-06-26,C,,,,B,N,와천교,A,,
1999-10-21,1999-10-21,C,,,,A,N,와천교,A,,
2000-11-20,2000-11-20,B,,,,A,N,와천교,A,,
2001-11-29,2001-11-29,B,,,,A,N,와천교,A,,
2002-10-28,2002-10-28,B,,,,C,N,와천교,A,,
2003-11-19,2003-11-19,B,,,,C,N,와천교,A,,
1994-11-01,1994-11-01,C,,,,B,N,포천2교,A,,
1995-11-18,1995-11-18,B,,,,A,N,포천2교,A,,
1996-11-11,1996-11-11,B,,,,B,N,포천2교,A,,
1996-11-11,1996-11-11,B,,,,B,N,신북교,A,,
1996-11-11,1996-11-11,B,,,,B,N,금주교,A,,
1996-03-22,1996-03-22,B,91.12.30준공 신설교량으로 양호한상태임,,,A,N,양문교,A,,
1997-11-27,1997-11-27,C,"본교량은 교대및 교각에 종균열이 발생되어있고 부분적으로 상판백태가 발생되어 있어 상판은 지속적으로 관찰, 교대 교각 종균열은 보수가 필요함",,,B,N,마석교,A,,
1997-01-24,1997-01-24,B,,,,C,N,답내교(확),A,,
1994-11-04,1994-11-04,C,,,,C,N,대사교,A,,
2001-11-28,2001-11-28,C,,,,A,N,대사교,A,,
2002-11-04,2002-11-04,B,,,,A,N,대사교,A,,
1994-10-27,1994-10-27,C,,,,E,N,옥병교,A,,
1995-11-18,1995-11-18,B,,,,C,N,옥병교,A,,
1996-11-20,1996-11-20,B,대체로양호하며 교각및 주형보 부분에 약간의 미세균열이 발생,,,B,N,옥병교,A,,
1999-10-08,1999-10-08,C,,,,A,N,백월육교,A,,
2000-12-04,2000-12-04,B,,,,C,N,백월육교,A,,
2001-11-19,2001-11-19,B,,,,C,N,백월육교,A,,
2002-10-23,2002-10-23,B,,,,A,N,백월육교,A,,
2001-11-26,2001-11-26,B,,,,A,N,신구운교,A,,
1997-12-12,1997-12-12,C,"상부슬라브 균열 철판보강부 녹발생 및 도장벗겨짐, 교좌장치녹발생및 볼트 체결 불량, 교좌장치 하부 교각 코핑부 균열",,,C,N,청평1교,A,,
1995-11-18,1995-11-18,B,,,,B,N,감천교,A,,
1998-06-26,1998-06-26,C,,,,C,N,감천교,A,,
1999-10-06,1999-10-06,C,,,,A,N,상천교(확),A,,
1996-12-09,1996-12-09,B,,,,B,N,하색교(확),A,,
2000-12-07,2000-12-07,B,,,,A,N,1도평교*,A,,
2000-11-29,2000-11-29,C,,,,A,N,하자포교,A,,
2000-11-30,2000-11-30,C,#NAME?,,,A,N,백현교,A,,
1994-11-08,1994-11-08,C,,,,B,N,임초교*,A,,
1994-11-04,1994-11-04,C,,,,A,N,궁평교,A,,
1998-06-25,1998-06-25,C,,,,A,N,궁평교,A,,
1995-11-18,1995-11-18,B,,,,C,N,1대성교,A,,
1999-05-29,1999-05-29,C,. 본교량은 교좌장치 및 교각부위균열보수 완료,,,A,N,1대성교,A,,
2003-11-19,2003-11-19,B,"교량의 등급은 ""B""등급 상태이며, 결함 및 손상부위에 대해서는 내구성 및 사용성을 위한 적절한 보수와 함께 성능개선 보강부 등의 중점적인 유지관리로 본 과업대상 시설물에 대한 안전성 및 사용성을 확보하여야 할 것으로 평가된다.",,,C,N,청평2교,A,,
